"文件","起始行","结束行","符号","类型","作用"
"components/literature-reading-library-shell.tsx","18","70","PaperChoice","函数","实现 PaperChoice 的调用与控制流程"
"components/literature-reading-library-shell.tsx","72","175","LiteratureReadingLibraryShell","函数","实现 LiteratureReadingLibraryShell 的调用与控制流程"
"components/literature-reading-library-shell.tsx","78","97","函数@78","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","82","84","函数@82","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","85","89","函数@85","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","90","92","函数@90","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","94","96","函数@94","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","99","115","函数@99","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","102","106","函数@102","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","110","114","函数@110","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","117","117","函数@117","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","146","146","函数@146","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-reading-library-shell.tsx","167","169","函数@167","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/literature-review-shell.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/literature-review-shell.tsx","5","5","导入@5","导入","引入本文件依赖"
"components/literature-review-shell.tsx","6","13","导入@6","导入","引入本文件依赖"
"components/literature-review-shell.tsx","14","23","导入@14","导入","引入本文件依赖"
"components/literature-review-shell.tsx","24","32","导入@24","导入","引入本文件依赖"
"components/literature-review-shell.tsx","33","36","导入@33","导入","引入本文件依赖"
"components/literature-review-shell.tsx","37","40","导入@37","导入","引入本文件依赖"
"components/literature-review-shell.tsx","41","41","导入@41","导入","引入本文件依赖"
"components/literature-review-shell.tsx","55","58","EditableMatrixField","类型","定义 EditableMatrixField 的数据契约"
"components/literature-review-shell.tsx","60","62","FieldLabel","函数","实现 FieldLabel 的调用与控制流程"
"components/literature-review-shell.tsx","64","66","isAbortError","函数","实现 isAbortError 的调用与控制流程"
"components/literature-review-shell.tsx","68","75","AnalysisProgress","类型","定义 AnalysisProgress 的数据契约"
"components/literature-review-shell.tsx","77","1544","LiteratureReviewShell","函数","实现 LiteratureReviewShell 的调用与控制流程"
"components/literature-review-shell.tsx","132","132","函数@132","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","134","134","函数@134","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","134","134","函数@134","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","138","138","函数@138","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","141","158","函数@141","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","142","157","函数@142","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","160","216","函数@160","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","161","213","函数@161","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","195","198","函数@195","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","215","215","函数@215","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","218","240","函数@218","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","258","268","clearSavedProject","变量","保存或计算 clearSavedProject 所需的数据"
"components/literature-review-shell.tsx","258","268","函数@258","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","270","302","函数@270","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","277","297","函数@277","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","299","301","函数@299","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","304","308","函数@304","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","305","307","函数@305","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","310","331","函数@310","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","349","349","函数@349","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","352","352","函数@352","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","360","378","validateOutlineInput","变量","保存或计算 validateOutlineInput 所需的数据"
"components/literature-review-shell.tsx","360","378","函数@360","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","380","387","startGeneration","变量","保存或计算 startGeneration 所需的数据"
"components/literature-review-shell.tsx","380","387","函数@380","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","389","397","stopGeneration","变量","保存或计算 stopGeneration 所需的数据"
"components/literature-review-shell.tsx","389","397","函数@389","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","399","410","changeWorkflowMode","变量","保存或计算 changeWorkflowMode 所需的数据"
"components/literature-review-shell.tsx","399","410","函数@399","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","412","422","changeModel","变量","保存或计算 changeModel 所需的数据"
"components/literature-review-shell.tsx","412","422","函数@412","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","424","520","analyzeAcademicPapers","变量","保存或计算 analyzeAcademicPapers 所需的数据"
"components/literature-review-shell.tsx","424","520","函数@424","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","481","482","函数@481","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","482","482","函数@482","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","522","528","toggleSection","变量","保存或计算 toggleSection 所需的数据"
"components/literature-review-shell.tsx","522","528","函数@522","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","523","526","函数@523","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","525","525","函数@525","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","530","542","updateMatrixRow","变量","保存或计算 updateMatrixRow 所需的数据"
"components/literature-review-shell.tsx","530","542","函数@530","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","534","535","函数@534","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","535","535","函数@535","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","544","586","handleGenerateMatrix","变量","保存或计算 handleGenerateMatrix 所需的数据"
"components/literature-review-shell.tsx","544","586","函数@544","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","588","624","handleGenerateThemes","变量","保存或计算 handleGenerateThemes 所需的数据"
"components/literature-review-shell.tsx","588","624","函数@588","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","593","593","函数@593","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","626","657","handleGenerateOutline","变量","保存或计算 handleGenerateOutline 所需的数据"
"components/literature-review-shell.tsx","626","657","函数@626","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","659","694","handleGeneratePpt","变量","保存或计算 handleGeneratePpt 所需的数据"
"components/literature-review-shell.tsx","659","694","函数@659","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","696","718","handleExport","变量","保存或计算 handleExport 所需的数据"
"components/literature-review-shell.tsx","696","718","函数@696","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","720","741","handleExportOutline","变量","保存或计算 handleExportOutline 所需的数据"
"components/literature-review-shell.tsx","720","741","函数@720","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","743","763","handleExportMatrix","变量","保存或计算 handleExportMatrix 所需的数据"
"components/literature-review-shell.tsx","743","763","函数@743","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","765","779","updatePptSlide","变量","保存或计算 updatePptSlide 所需的数据"
"components/literature-review-shell.tsx","765","779","函数@765","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","769","777","函数@769","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","773","774","函数@773","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","807","818","函数@807","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","838","842","函数@838","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","906","906","函数@906","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","934","934","函数@934","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","961","961","函数@961","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","985","993","函数@985","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","999","1003","函数@999","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1034","1034","函数@1034","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1037","1041","函数@1037","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1055","1055","函数@1055","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1067","1070","函数@1067","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1074","1078","函数@1074","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1088","1088","函数@1088","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1099","1102","函数@1099","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1106","1110","函数@1106","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1119","1122","函数@1119","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1126","1130","函数@1126","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1139","1140","函数@1139","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1144","1148","函数@1144","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1160","1160","函数@1160","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1170","1182","函数@1170","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1178","1178","函数@1178","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1191","1191","函数@1191","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1201","1203","函数@1201","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1226","1226","函数@1226","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1245","1245","函数@1245","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1251","1251","函数@1251","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1275","1282","函数@1275","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1286","1346","函数@1286","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1294","1297","函数@1294","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1314","1331","函数@1314","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1323","1326","函数@1323","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1359","1359","函数@1359","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1383","1387","函数@1383","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1394","1394","函数@1394","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1408","1408","函数@1408","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1421","1421","函数@1421","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1429","1431","函数@1429","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1456","1527","函数@1456","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1476","1477","函数@1476","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1484","1485","函数@1484","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1493","1500","函数@1493","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1497","1497","函数@1497","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-review-shell.tsx","1532","1534","函数@1532","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/literature-shell.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/literature-shell.tsx","5","5","导入@5","导入","引入本文件依赖"
"components/literature-shell.tsx","6","6","导入@6","导入","引入本文件依赖"
"components/literature-shell.tsx","7","10","导入@7","导入","引入本文件依赖"
"components/literature-shell.tsx","11","14","导入@11","导入","引入本文件依赖"
"components/literature-shell.tsx","15","24","导入@15","导入","引入本文件依赖"
"components/literature-shell.tsx","25","25","导入@25","导入","引入本文件依赖"
"components/literature-shell.tsx","26","31","导入@26","导入","引入本文件依赖"
"components/literature-shell.tsx","32","37","导入@32","导入","引入本文件依赖"
"components/literature-shell.tsx","38","38","导入@38","导入","引入本文件依赖"
"components/literature-shell.tsx","46","51","LiteratureTrackerSession","类型","定义 LiteratureTrackerSession 的数据契约"
"components/literature-shell.tsx","53","59","isLiteraturePaperSortKey","函数","实现 isLiteraturePaperSortKey 的调用与控制流程"
"components/literature-shell.tsx","57","57","函数@57","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","61","91","readTrackerSession","函数","实现 readTrackerSession 的调用与控制流程"
"components/literature-shell.tsx","93","102","writeTrackerSession","函数","实现 writeTrackerSession 的调用与控制流程"
"components/literature-shell.tsx","104","552","LiteratureShell","函数","实现 LiteratureShell 的调用与控制流程"
"components/literature-shell.tsx","122","171","函数@122","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","126","166","函数@126","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","168","170","函数@168","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","173","179","函数@173","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","181","209","函数@181","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","212","240","函数@212","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","213","213","函数@213","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","233","238","函数@233","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","234","237","函数@234","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","245","262","函数@245","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","246","246","函数@246","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","255","260","函数@255","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","256","259","函数@256","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","267","272","函数@267","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","269","270","函数@269","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","270","270","函数@270","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","276","276","函数@276","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","279","279","函数@279","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","283","291","函数@283","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","289","289","函数@289","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","294","302","函数@294","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","296","296","函数@296","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","341","345","函数@341","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","342","345","函数@342","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","364","368","函数@364","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","365","368","函数@365","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","387","391","函数@387","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","388","391","函数@388","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","409","413","函数@409","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","410","413","函数@410","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","417","421","函数@417","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","428","430","函数@428","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","509","510","函数@509","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","514","518","函数@514","函数","实现 匿名逻辑 的调用与控制流程"
"components/literature-shell.tsx","523","544","函数@523","函数","实现 匿名逻辑 的调用与控制流程"
"components/message-export-menu.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/message-export-menu.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/message-export-menu.tsx","5","5","导入@5","导入","引入本文件依赖"
"components/message-export-menu.tsx","7","10","MessageExportMenuProps","类型","定义 MessageExportMenuProps 的数据契约"
"components/message-export-menu.tsx","12","39","MessageExportMenu","函数","实现 MessageExportMenu 的调用与控制流程"
"components/message-export-menu.tsx","22","22","函数@22","函数","实现 匿名逻辑 的调用与控制流程"
"components/message-export-menu.tsx","35","35","函数@35","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/presentation-shell.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/presentation-shell.tsx","5","5","导入@5","导入","引入本文件依赖"
"components/presentation-shell.tsx","6","6","导入@6","导入","引入本文件依赖"
"components/presentation-shell.tsx","7","7","导入@7","导入","引入本文件依赖"
"components/presentation-shell.tsx","8","8","导入@8","导入","引入本文件依赖"
"components/presentation-shell.tsx","9","14","导入@9","导入","引入本文件依赖"
"components/presentation-shell.tsx","15","18","导入@15","导入","引入本文件依赖"
"components/presentation-shell.tsx","22","343","PresentationShell","函数","实现 PresentationShell 的调用与控制流程"
"components/presentation-shell.tsx","36","62","函数@36","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","37","60","函数@37","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","61","61","函数@61","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","64","70","函数@64","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","72","105","generateDeck","变量","保存或计算 generateDeck 所需的数据"
"components/presentation-shell.tsx","72","105","函数@72","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","107","118","updateSlide","变量","保存或计算 updateSlide 所需的数据"
"components/presentation-shell.tsx","107","118","函数@107","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","108","116","函数@108","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","112","113","函数@112","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","120","137","exportDeck","变量","保存或计算 exportDeck 所需的数据"
"components/presentation-shell.tsx","120","137","函数@120","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","153","163","函数@153","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","213","216","函数@213","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","226","226","函数@226","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","229","233","函数@229","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","243","246","函数@243","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","259","259","函数@259","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","278","278","函数@278","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","285","336","函数@285","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","297","298","函数@297","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","304","305","函数@304","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","312","319","函数@312","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-shell.tsx","316","316","函数@316","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/presentation-template-picker.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/presentation-template-picker.tsx","5","8","导入@5","导入","引入本文件依赖"
"components/presentation-template-picker.tsx","9","9","导入@9","导入","引入本文件依赖"
"components/presentation-template-picker.tsx","11","15","PresentationTemplatePickerProps","类型","定义 PresentationTemplatePickerProps 的数据契约"
"components/presentation-template-picker.tsx","17","31","ModernBlueMockup","函数","实现 ModernBlueMockup 的调用与控制流程"
"components/presentation-template-picker.tsx","33","204","PresentationTemplatePicker","函数","实现 PresentationTemplatePicker 的调用与控制流程"
"components/presentation-template-picker.tsx","41","48","函数@41","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","43","45","handleKeyDown","变量","保存或计算 handleKeyDown 所需的数据"
"components/presentation-template-picker.tsx","43","45","函数@43","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","47","47","函数@47","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","60","119","函数@60","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","74","74","函数@74","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","112","112","函数@112","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","129","131","函数@129","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","145","145","函数@145","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","154","173","函数@154","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","183","183","函数@183","函数","实现 匿名逻辑 的调用与控制流程"
"components/presentation-template-picker.tsx","190","193","函数@190","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/project-translation-dialog.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/project-translation-dialog.tsx","5","10","导入@5","导入","引入本文件依赖"
"components/project-translation-dialog.tsx","11","14","导入@11","导入","引入本文件依赖"
"components/project-translation-dialog.tsx","15","20","导入@15","导入","引入本文件依赖"
"components/project-translation-dialog.tsx","21","26","导入@21","导入","引入本文件依赖"
"components/project-translation-dialog.tsx","27","32","导入@27","导入","引入本文件依赖"
"components/project-translation-dialog.tsx","34","41","STAGE_LABELS","变量","保存或计算 STAGE_LABELS 所需的数据"
"components/project-translation-dialog.tsx","43","50","ProjectTranslationDownload","类型","定义 ProjectTranslationDownload 的数据契约"
"components/project-translation-dialog.tsx","52","56","ProjectTranslationDialogProps","类型","定义 ProjectTranslationDialogProps 的数据契约"
"components/project-translation-dialog.tsx","58","406","ProjectTranslationDialog","函数","实现 ProjectTranslationDialog 的调用与控制流程"
"components/project-translation-dialog.tsx","80","82","函数@80","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","84","89","函数@84","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","85","88","函数@85","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","87","87","函数@87","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","98","105","handleModelTierChange","变量","保存或计算 handleModelTierChange 所需的数据"
"components/project-translation-dialog.tsx","98","105","函数@98","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","107","175","runTranslation","变量","保存或计算 runTranslation 所需的数据"
"components/project-translation-dialog.tsx","107","175","函数@107","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","115","118","函数@115","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","116","116","函数@116","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","124","132","values","变量","保存或计算 values 所需的数据"
"components/project-translation-dialog.tsx","136","139","函数@136","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","142","152","函数@142","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","177","181","stopTranslation","变量","保存或计算 stopTranslation 所需的数据"
"components/project-translation-dialog.tsx","177","181","函数@177","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","207","207","函数@207","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","217","218","函数@217","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","222","226","函数@222","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","234","235","函数@234","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","239","243","函数@239","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","251","252","函数@251","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","256","260","函数@256","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","268","287","函数@268","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","283","283","函数@283","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","297","324","函数@297","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","312","312","函数@312","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","335","335","函数@335","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","359","378","函数@359","函数","实现 匿名逻辑 的调用与控制流程"
"components/project-translation-dialog.tsx","395","395","函数@395","函数","实现 匿名逻辑 的调用与控制流程"
"components/research-page-header.tsx","3","3","导入@3","导入","引入本文件依赖"
"components/research-page-header.tsx","4","4","导入@4","导入","引入本文件依赖"
"components/research-page-header.tsx","5","5","导入@5","导入","引入本文件依赖"
"components/research-page-header.tsx","6","15","导入@6","导入","引入本文件依赖"
"components/research-page-header.tsx","17","22","ResearchPageHeaderProps","类型","定义 ResearchPageHeaderProps 的数据契约"
"components/research-page-header.tsx","45","47","isExactOrChild","函数","实现 isExactOrChild 的调用与控制流程"
"components/research-page-header.tsx","49","149","ResearchPageHeader","函数","实现 ResearchPageHeader 的调用与控制流程"
"components/research-page-header.tsx","74","92","函数@74","函数","实现 匿名逻辑 的调用与控制流程"
"components/research-page-header.tsx","103","130","函数@103","函数","实现 匿名逻辑 的调用与控制流程"
"components/research-tool-panel.tsx","3","19","导入@3","导入","引入本文件依赖"
"components/research-tool-panel.tsx","20","20","导入@20","导入","引入本文件依赖"
"components/research-tool-panel.tsx","21","24","导入@21","导入","引入本文件依赖"
